ID	Plot	Tree	DBH1	DBH2	H	Huom
1	EVO4	1	25,3	25,1	23,9	
2	EVO4	2	19,7	20,4	21,3	Koro
3	EVO4	3	32,9	32,3	25,6	
4	EVO4	4	31,2	29,3	25,6	
5	EVO4	5	25,9	25,4	25,4	
6	EVO4	6	30,7	30,9	27	
7	EVO4	7	32,6	35,8	28,1	
8	EVO2	1	31,7	30,5	22,4	
9	EVO2	2	25	25,3	20,5	
10	EVO2	3	30,5	31,9	22,3	
11	EVO2	4	23,6	23	22,4	
12	EVO2	5	34,9	33,2	25,6	
13	EVO2	6	29	27,6	24	
14	EVO2	7	30,1	31,2	23,7	
15	EVO3	1	26,9	26,5	23,2	
16	EVO3	2	29,7	29,3	20,8	
17	EVO3	3	25,5	24,9	22	
18	EVO3	4	27,3	28,8	22,9	
19	EVO3	5	38,1	37	22,8	
20	EVO3	6	29,5	28,7	21,6	
21	EVO3	7	35,3	34,9	24	
22	VEP4	1	42,8	43,3	26,6	
23	VEP4	2	35,2	34,9	24,5	
24	VEP4	3	31	30,8	26	
25	VEP4	4	36,8	35	25	
26	VEP4	5	36,2	36,5	27	
27	VEP4	6	29,2	29	26,3	
28	VEP4	7	24,5	24,6	20,6	
29	VEP2	1	25,5	27,2	19,5	
30	VEP2	2	38,6	40	30	
31	VEP2	3	36	34,5	30,3	
32	VEP2	4	43	39,6	30,6	
33	VEP2	5	34,8	33,9	27,4	
34	VEP2	6	39,9	41,2	29,8	
35	VEP2	7	33,5	32,5	26,9	
36	VES2	1	29,5	32,5	21,8	
37	VES2	2	22,9	24,5	21,1	
38	VES2	3	19,5	19,2	19,8	
39	VES2	4	32,5	32	25,1	
40	VES2	5	26	25,5	21	
41	VES2	6	21,3	22,5	21,1	
42	VES2	7	26,4	26,7	23,7	
43	VES16	1	37,7	38,5	26,5	
44	VES16	2	26	27,5	25,1	
45	VES16	3	30,9	30,7	18,5	
46	VES16	4	28,9	28,7	24,3	
47	VES16	5	31,5	30,9	23	
48	VES16	6	27,7	28,6	19,5	
49	VES16	7	37,5	38	26	
