Stand	Plot	TreeID	x_DBH_local_TLS	y_DBH_local_TLS	dbh_TLS	h_TLS	cra_TLS	dbh_field	h_field
1	1_1	1308	3.094928	2.134909	20.334029	18.40845	6.647	24.5	22.9
1	1_1	1306	1.569526	2.050144	21.055471	19.98713	11.553	24.5	23.4
1	1_1	1301	2.695825	-4.202141	21.177881	19.34174	8.255	28.7	21
1	1_1	1302	1.343987	-4.038245	22.492667	20.61568	9.071	22.1	20.9
1	1_1	1309	4.549827	-1.240946	23.567448	21.83184	16.804	20.5	19.8
1	1_1	1303	-0.232357	-3.833561	24.232891	21.72357	14.316	21.7	19.9
1	1_1	1307	1.838617	4.309968	27.907658	19.87625	15.458	21.9	21.6
1	1_1	1304	-1.795003	-2.093856	30.431668	23.00774	15.677	31.1	23.4
1	1_1	1305	-3.064963	1.500428	31.564337	21.88221	26.135	31.5	22.5
1	1_2	1317	0.021939	4.741662	22.622455	21.08568	8.798	23.6	23.7
1	1_2	1316	-1.615202	3.025498	24.147813	22.23431	8.455	25.1	25.3
1	1_2	1314	-3.828883	-0.538112	26.885926	23.88677	20.499	27.7	24.1
1	1_2	1312	-1.452815	-6.158791	27.726034	24.08687	16.51	28.2	25.2
1	1_2	1311	3.061443	-5.111223	28.070819	24.787	19.366	29.1	25.9
1	1_2	1310	2.739033	-1.327014	29.856748	23.21011	23.134	31.3	24.6
1	1_2	1318	1.083446	3.195774	30.661352	23.59991	14.688	30.9	25.2
1	1_2	1313	-4.931106	-5.644476	32.953159	26.99235	19.045	35	27.9
1	1_2	1315	-3.424673	2.451479	33.644379	25.03827	13.09	24	27.3
1	1_3	1323	0.422674	5.949504	20.545072	19.32638	15.234	21.9	22.3
1	1_3	1319	1.753853	-0.82642	23.20557	24.75559	19.251	24.3	26
1	1_3	1321	-5.334504	-1.208806	26.187026	24.27324	19.867	27.7	24.5
1	1_3	1325	6.943988	2.406535	29.615823	26.29328	23.002	30.8	27.8
1	1_3	1320	0.95998	-4.153944	32.20022	25.67922	22.533	32.3	27.6
1	1_3	1322	-3.20554	-0.075844	33.010729	24.2801	20.245	30.7	24.1
1	1_3	1324	2.459976	3.189797	33.420118	26.27505	14.306	34.5	27.1
1	1_4	1331	-0.56958	1.583906	19.75869	18.86526	11.717	20.3	18.9
1	1_4	1330	-4.996769	3.047352	25.27694	21.7363	19.152	25.6	22.3
1	1_4	1326	2.862918	0.485118	26.05941	20.81812	27.684	26	23.3
1	1_4	1327	1.544659	-0.994648	28.24262	23.98482	9.89	29.4	24.6
1	1_4	1328	0.118284	-4.047387	30.88971	22.65079	19.86	30.9	24.7
1	1_4	1329	-2.15919	-0.815367	31.65757	23.33818	17.555	31.7	24.7
1	1_4	1332	3.632701	6.395095	32.16465	27.09497	18.887	32.9	27.3
1	1_4	1333	6.764811	6.523685	35.52229	23.97284	15.601	36.7	25
120	120_1	609	5.184896	7.85065	20.6831469	20.93379	12.193	20.5	20.7
120	120_1	603	-2.440296	-1.723379	23.61940725	22.01676	15.128	23.85	22.2
120	120_1	601	-0.308856	5.727332	23.68835698	22.04122	20.288	24.1	22.3
120	120_1	607	7.011528	-5.804947	23.92377902	22.28082	19.399	23.75	22.2
120	120_1	606	2.72829	-8.798417	26.33704622	23.18656	20.379	26.15	23.6
120	120_1	604	-1.424076	-5.937227	27.87035164	24.13928	18.142	28.6	24
120	120_1	602	-1.480678	0.821004	29.58673908	24.14116	14.438	29.85	25.6
120	120_1	605	-0.302501	-8.208056	33.07935891	25.94137	18.556	34.5	24.6
120	120_1	608	2.942588	-0.262934	33.93104947	24.06781	19.59	34.35	23.7
120	120_2	615	0.061743	-1.906176	21.503289	22.0588	17.465	22.4	21.7
120	120_2	616	-5.380353	-5.869773	26.369256	23.1088	18.878	26.5	23.5
120	120_2	612	-0.914145	4.127529	27.535615	26.16583	16.227	27.3	25.5
120	120_2	613	1.040641	3.389609	29.288301	25.27207	10.61	30.2	26
120	120_2	614	4.959739	2.500681	30.219289	23.92243	10.233	30.9	25.5
120	120_2	611	-4.147378	8.021637	31.178729	24.42043	13.912	30.5	22.9
120	120_2	610	-4.931211	5.873095	39.763846	25.31713	15.129	41.3	26.7
120	120_3	623	3.451477	3.157712	22.588664	24.23713	13.417	30.7	26.4
120	120_3	617	1.672008	-1.37546	30.04785	24.26358	15.599	28.5	26.2
120	120_3	625	5.726766	-1.004366	30.405486	26.01333	22.746	39.2	25.5
120	120_3	624	8.482014	6.242048	30.880593	26.19253	16.762	30.9	25.9
120	120_3	622	2.713456	6.609041	32.296916	28.40038	12.887	31.3	27.7
120	120_3	621	0.145585	3.522415	34.215623	27.62782	17.575	33.7	27.2
120	120_3	618	-1.898057	-0.903046	35.693412	27.56565	17.791	33.3	23.6
120	120_3	620	-4.527534	7.324309	39.817274	28.38022	24.092	35.1	28.8
120	120_3	619	-5.115028	-0.109744	41.352015	26.98021	12.364	38.3	28.4
120	120_4	632	-6.358764	-5.925929	19.092534	19.7641	12.829	19.9	19
120	120_4	629	4.15879	-5.17982	20.466816	22.2065	15.721	20.7	22.2
120	120_4	631	-2.107363	-7.73338	23.856049	22.39907	18.671	25.3	22.1
120	120_4	633	-6.686585	1.610382	24.018214	19.56632	20.94	24.7	21.7
120	120_4	634	-2.866536	1.101663	25.082178	21.7845	18.8	25.4	22.5
120	120_4	627	3.179267	1.762661	28.569973	23.52371	21.378	29.4	24.5
120	120_4	630	2.554717	-7.042003	28.77733	23.38971	18.071	29.8	23.4
120	120_4	626	0.901692	3.435291	29.699358	25.21329	20.416	32.6	25.4
120	120_4	628	4.647397	-1.43143	33.270808	23.37977	20.282	33.7	24.7
120	120_5	644	-3.916649	1.942471	21.9906	17.50938	15.702	26.6	20.3
120	120_5	641	-0.042747	-7.811023	22.4434	19.30017	21.044	23.4	19.3
120	120_5	640	3.815752	-2.109685	24.00047	19.09258	13.401	24.9	19.1
120	120_5	637	1.002811	9.163864	25.52195	20.33811	13.645	24.9	20.6
120	120_5	635	-2.713375	5.438849	28.16039	21.31314	18.551	29.8	22.2
120	120_5	638	1.547714	6.250729	29.33714	22.14685	20.252	31.4	21.9
120	120_5	639	4.245668	0.426376	29.46015	21.3149	20.488	30.9	21.3
120	120_5	636	-1.235599	9.950566	30.27132	20.51225	15.413	32.2	21.6
120	120_5	643	-7.593932	-0.313863	30.88995	21.86931	21.926	32.9	21.2
120	120_5	642	-7.615522	-5.849789	36.20445	22.46055	27.126	39.5	22.8
136	136_1	202	4.265356	-1.201373	23.988951	23.2005	9.96	24.2	24.3
136	136_1	204	0.934255	-3.251713	25.464727	21.66957	10.167	25.6	22.9
